"set","run","cmp_code","cmp_id","label","om_code","source_om","stock","draws","first_year","last_year","statistics","source_file"
"robustness","tun47_om21","tun47","MP47","HS-30","om21","h2_0.16","North",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun47_om21","tun47","MP47","HS-30","om21","h2_0.16","Southern",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun47_om21_1","tun47","MP47","HS-30","om21_1","h2_0.16_mov","North",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun47_om21_1","tun47","MP47","HS-30","om21_1","h2_0.16_mov","Southern",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun47_om22","tun47","MP47","HS-30","om22","h2_0.16h","North",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun47_om22","tun47","MP47","HS-30","om22","h2_0.16h","Southern",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun47_om23","tun47","MP47","HS-30","om23","h2_1.14","North",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun47_om23","tun47","MP47","HS-30","om23","h2_1.14","Southern",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"reference","tun32","tun32","MP32","PR+20","om11","h1_0.16","CJM",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/reference/performance_with_vb.rds"
"robustness","tun32_om11_1","tun32","MP32","PR+20","om11_1","h1_0.16_selex","CJM",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun32_om11_2","tun32","MP32","PR+20","om11_2","h1_0.16_lowrec","CJM",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
