selection_order,iter,mp,cmp,year,catch
4,308,tun43,HS-20 (MP43),2027,1206.2050437607
4,308,tun43,HS-20 (MP43),2028,1387.13580034796
4,308,tun43,HS-20 (MP43),2029,1595.20617039429
4,308,tun43,HS-20 (MP43),2030,1834.48709596248
4,308,tun43,HS-20 (MP43),2031,1646.53740735701
4,308,tun43,HS-20 (MP43),2032,1464.25666024741
4,308,tun43,HS-20 (MP43),2033,1269.06978253852
4,308,tun43,HS-20 (MP43),2034,1015.25582602953
4,308,tun43,HS-20 (MP43),2035,812.204660824712
4,308,tun43,HS-20 (MP43),2036,649.763728659767
4,308,tun43,HS-20 (MP43),2037,319.565897075722
4,308,tun43,HS-20 (MP43),2038,6.12284230177822e-05
4,308,tun43,HS-20 (MP43),2039,1.00192234332358e-05
4,308,tun43,HS-20 (MP43),2040,1.00448629599821e-05
4,308,tun43,HS-20 (MP43),2041,1.00112060715157e-05
4,308,tun43,HS-20 (MP43),2042,1.01088978489361e-05
4,308,tun43,HS-20 (MP43),2043,1.01026759409621e-05
4,308,tun43,HS-20 (MP43),2044,1.01262924093566e-05
4,308,tun43,HS-20 (MP43),2045,1.00914051043752e-05
4,308,tun43,HS-20 (MP43),2046,1.01003229189551e-05
4,308,tun43,HS-20 (MP43),2047,1.01218499310376e-05
4,308,tun43,HS-20 (MP43),2048,1.01257299815863e-05
4,308,tun43,HS-20 (MP43),2049,1.01169755544585e-05
4,308,tun43,HS-20 (MP43),2050,1.01000815556884e-05
2,100,tun44,PR-20 (MP44),2026,1107.99999972212
2,100,tun44,PR-20 (MP44),2027,886.39998495895
2,100,tun44,PR-20 (MP44),2028,709.119966903343
2,100,tun44,PR-20 (MP44),2029,815.487999999999
2,100,tun44,PR-20 (MP44),2030,937.811199999998
2,100,tun44,PR-20 (MP44),2031,1078.48287999998
2,100,tun44,PR-20 (MP44),2032,862.786303999996
2,100,tun44,PR-20 (MP44),2033,722.535799223956
2,100,tun44,PR-20 (MP44),2034,830.916169107537
2,100,tun44,PR-20 (MP44),2035,887.238485356649
2,100,tun44,PR-20 (MP44),2036,711.163615838736
2,100,tun44,PR-20 (MP44),2037,568.930892671029
2,100,tun44,PR-20 (MP44),2038,455.144702949991
2,100,tun44,PR-20 (MP44),2039,364.115770934007
2,100,tun44,PR-20 (MP44),2040,418.733136901466
2,100,tun44,PR-20 (MP44),2041,481.543107518543
2,100,tun44,PR-20 (MP44),2042,553.774573639413
2,100,tun44,PR-20 (MP44),2043,636.840759696251
2,100,tun44,PR-20 (MP44),2044,732.366873609735
2,100,tun44,PR-20 (MP44),2045,842.221904558122
2,100,tun44,PR-20 (MP44),2046,968.555190035096
2,100,tun44,PR-20 (MP44),2047,1113.83846799441
2,100,tun44,PR-20 (MP44),2048,1280.91423658573
2,100,tun44,PR-20 (MP44),2049,1473.05137076108
