mp,statistic,metric,value,display_value,direction,relative_badness,relative_preference,metric_min,metric_max,years,summary
HSsym (MP45),VBMSY,VB / VB[MSY],0.793304632742685,0.79,higher is better,0.394356138312369,0.605643861687631,0.75965763874634,0.815213380535892,2041-2050,Median across iteration-specific 2041-2050 means
HS-30 (MP47),VBMSY,VB / VB[MSY],0.776272354491232,0.78,higher is better,0.70093611911746,0.29906388088254,0.75965763874634,0.815213380535892,2041-2050,Median across iteration-specific 2041-2050 means
PR+20 (MP32),VBMSY,VB / VB[MSY],0.785442851395198,0.79,higher is better,0.535867728190296,0.464132271809704,0.75965763874634,0.815213380535892,2041-2050,Median across iteration-specific 2041-2050 means
PR-20 (MP44),VBMSY,VB / VB[MSY],0.815213380535892,0.82,higher is better,0,1,0.75965763874634,0.815213380535892,2041-2050,Median across iteration-specific 2041-2050 means
PRsym (MP46),VBMSY,VB / VB[MSY],0.800348962847574,0.80,higher is better,0.267558621476519,0.732441378523481,0.75965763874634,0.815213380535892,2041-2050,Median across iteration-specific 2041-2050 means
PR-30 (MP48),VBMSY,VB / VB[MSY],0.787373105831448,0.79,higher is better,0.501123264808596,0.498876735191404,0.75965763874634,0.815213380535892,2041-2050,Median across iteration-specific 2041-2050 means
HS+20 (MP29),SB0green,P(Kobe green),0.6098,61.0%,higher is better,0,1,0.5918,0.6098,2041-2050,Median across iteration-specific 2041-2050 means
PR+20 (MP32),SB0green,P(Kobe green),0.6026,60.3%,higher is better,0.399999999999999,0.600000000000001,0.5918,0.6098,2041-2050,Median across iteration-specific 2041-2050 means
HS-20 (MP43),SB0green,P(Kobe green),0.5918,59.2%,higher is better,1,0,0.5918,0.6098,2041-2050,Median across iteration-specific 2041-2050 means
PR-20 (MP44),SB0green,P(Kobe green),0.5984,59.8%,higher is better,0.633333333333331,0.366666666666669,0.5918,0.6098,2041-2050,Median across iteration-specific 2041-2050 means
HSsym (MP45),SB0green,P(Kobe green),0.6042,60.4%,higher is better,0.311111111111114,0.688888888888886,0.5918,0.6098,2041-2050,Median across iteration-specific 2041-2050 means
PRsym (MP46),SB0green,P(Kobe green),0.5954,59.5%,higher is better,0.799999999999998,0.200000000000002,0.5918,0.6098,2041-2050,Median across iteration-specific 2041-2050 means
HS-30 (MP47),SB0green,P(Kobe green),0.6038,60.4%,higher is better,0.333333333333333,0.666666666666667,0.5918,0.6098,2041-2050,Median across iteration-specific 2041-2050 means
PR-30 (MP48),SB0green,P(Kobe green),0.6056,60.6%,higher is better,0.233333333333332,0.766666666666668,0.5918,0.6098,2041-2050,Median across iteration-specific 2041-2050 means
HS+20 (MP29),SB0red,P(Kobe red),0.2818,28.2%,lower is better,0.70873786407767,0.29126213592233,0.238,0.2998,2041-2050,Median across iteration-specific 2041-2050 means
PR+20 (MP32),SB0red,P(Kobe red),0.272,27.2%,lower is better,0.550161812297735,0.449838187702265,0.238,0.2998,2041-2050,Median across iteration-specific 2041-2050 means
HS-20 (MP43),SB0red,P(Kobe red),0.2998,30.0%,lower is better,1,0,0.238,0.2998,2041-2050,Median across iteration-specific 2041-2050 means
PR-20 (MP44),SB0red,P(Kobe red),0.2592,25.9%,lower is better,0.343042071197411,0.656957928802589,0.238,0.2998,2041-2050,Median across iteration-specific 2041-2050 means
HSsym (MP45),SB0red,P(Kobe red),0.2874,28.7%,lower is better,0.799352750809061,0.200647249190939,0.238,0.2998,2041-2050,Median across iteration-specific 2041-2050 means
PRsym (MP46),SB0red,P(Kobe red),0.275,27.5%,lower is better,0.598705501618123,0.401294498381877,0.238,0.2998,2041-2050,Median across iteration-specific 2041-2050 means
