"weight_scheme","mp","metric","raw_value","preferred_direction","normalized_score","include","scheme_weight","weighted_contribution","years","summary"
"Equal weights","PRsym (MP46)","F / F[MSY]",0.916748853739748,"lower is better",59.7852,TRUE,0.166666666666667,9.9642,"2041-2050","Median across iteration-specific 2041-2050 means"
"Equal weights","PRsym (MP46)","Catch",1844.67311650807,"higher is better",100,TRUE,0.166666666666667,16.6667,"2041-2050","Median across iteration-specific 2041-2050 means"
"Equal weights","PRsym (MP46)","IACC",8.88602488030723,"lower is better",7.8363,TRUE,0.166666666666667,1.3061,"2041-2050","Median across iteration-specific 2041-2050 means"
"Equal weights","PRsym (MP46)","VB / VB[2025]",5.7605686560126,"higher is better",100,TRUE,0.166666666666667,16.6667,"2041-2050","Median across iteration-specific 2041-2050 means"
"Equal weights","PRsym (MP46)","VB / VB[MSY]",0.867540025111641,"higher is better",100,TRUE,0.166666666666667,16.6667,"2041-2050","Median across iteration-specific 2041-2050 means"
"Equal weights","PR-20 (MP44)","SB / SB[MSY]",1.64339958980653,"higher is better",56.1147,TRUE,0.166666666666667,9.3524,"2041-2050","Median across iteration-specific 2041-2050 means"
"Equal weights","PR-20 (MP44)","F / F[MSY]",0.923441794232659,"lower is better",0,TRUE,0.166666666666667,0,"2041-2050","Median across iteration-specific 2041-2050 means"
"Equal weights","PR-20 (MP44)","Catch",1827.79031145529,"higher is better",70.2996,TRUE,0.166666666666667,11.7166,"2041-2050","Median across iteration-specific 2041-2050 means"
"Equal weights","PR-20 (MP44)","IACC",9.08445947254351,"lower is better",2.7631,TRUE,0.166666666666667,0.4605,"2041-2050","Median across iteration-specific 2041-2050 means"
"Equal weights","PR-20 (MP44)","VB / VB[2025]",5.74830733842985,"higher is better",96.4749,TRUE,0.166666666666667,16.0792,"2041-2050","Median across iteration-specific 2041-2050 means"
"Equal weights","PR-20 (MP44)","VB / VB[MSY]",0.863730791394911,"higher is better",82.778,TRUE,0.166666666666667,13.7963,"2041-2050","Median across iteration-specific 2041-2050 means"
