scenario,cmp,period,iter,mean_sb_sbmsy
Reference OM,HS+20,Long term (2041–2050),194,1.24654990792767
Reference OM,HS+20,Long term (2041–2050),195,0.986606411663572
Reference OM,HS+20,Long term (2041–2050),196,1.00285327994499
Reference OM,HS+20,Long term (2041–2050),197,0.485409670159617
Reference OM,HS+20,Long term (2041–2050),198,1.75400082284249
Reference OM,HS+20,Long term (2041–2050),199,2.88079338106634
Reference OM,PR+20,Near term (2026–2035),100,1.80895395268946
Reference OM,PR+20,Near term (2026–2035),101,1.53342115315193
Reference OM,PR+20,Near term (2026–2035),102,1.18743003613129
Reference OM,PR+20,Near term (2026–2035),103,1.70652415074436
Reference OM,PR+20,Near term (2026–2035),104,1.61034232432966
Reference OM,PR+20,Near term (2026–2035),105,1.9579643821761
Reference OM,PR+20,Near term (2026–2035),106,1.73031862325099
Reference OM,PR+20,Near term (2026–2035),107,1.12983076086958
Reference OM,PR+20,Near term (2026–2035),108,1.32498101260462
Reference OM,PR+20,Near term (2026–2035),109,1.40800974893297
Reference OM,PR+20,Near term (2026–2035),110,1.16467684920986
Reference OM,PR+20,Near term (2026–2035),111,1.1702476508571
Reference OM,PR+20,Near term (2026–2035),112,1.91573461402099
Reference OM,PR+20,Near term (2026–2035),113,1.4138668082829
Reference OM,PR+20,Near term (2026–2035),114,1.71220836360639
Reference OM,PR+20,Near term (2026–2035),115,1.68429773046262
Reference OM,PR+20,Near term (2026–2035),116,1.70561419680402
Reference OM,PR+20,Near term (2026–2035),117,1.76993731781687
Reference OM,PR+20,Near term (2026–2035),118,1.06372918800625
Reference OM,PR+20,Near term (2026–2035),119,1.24419676405061
Reference OM,PR+20,Near term (2026–2035),120,2.79135674085988
Reference OM,PR+20,Near term (2026–2035),121,1.29902849970084
Reference OM,PR+20,Near term (2026–2035),122,1.1521538404081
Reference OM,PR+20,Near term (2026–2035),123,1.39042384573248
Reference OM,PR+20,Near term (2026–2035),124,1.27725153835574
Reference OM,PR+20,Near term (2026–2035),125,1.19218815555238
Reference OM,PR+20,Near term (2026–2035),126,0.888522668832023
Reference OM,PR+20,Near term (2026–2035),127,1.09266099680809
Reference OM,PR+20,Near term (2026–2035),128,0.973066748272005
Reference OM,PR+20,Near term (2026–2035),129,1.48357984090673
Reference OM,PR+20,Near term (2026–2035),130,1.06104828528806
Reference OM,PR+20,Near term (2026–2035),131,1.46638995199974
Reference OM,PR+20,Near term (2026–2035),132,1.24784151205821
Reference OM,PR+20,Near term (2026–2035),133,1.00872785472084
Reference OM,PR+20,Near term (2026–2035),134,1.58456742644093
Reference OM,PR+20,Near term (2026–2035),135,1.73401692804743
Reference OM,PR+20,Near term (2026–2035),136,1.32223259267044
Reference OM,PR+20,Near term (2026–2035),137,1.72379499666715
Reference OM,PR+20,Near term (2026–2035),138,0.84369263297283
Reference OM,PR+20,Near term (2026–2035),139,1.98313831272532
Reference OM,PR+20,Near term (2026–2035),140,1.15510010166047
Reference OM,PR+20,Near term (2026–2035),141,1.49590225975707
Reference OM,PR+20,Near term (2026–2035),142,0.872193898268394
Reference OM,PR+20,Near term (2026–2035),143,1.43169766664159
Reference OM,PR+20,Near term (2026–2035),144,1.68480726441844
Reference OM,PR+20,Near term (2026–2035),145,1.31894922131816
Reference OM,PR+20,Near term (2026–2035),146,1.48235646830768
Reference OM,PR+20,Near term (2026–2035),147,1.70158807582634
Reference OM,PR+20,Near term (2026–2035),148,1.54683995203234
Reference OM,PR+20,Near term (2026–2035),149,0.919027630643228
Reference OM,PR+20,Near term (2026–2035),150,1.55916775724647
Reference OM,PR+20,Near term (2026–2035),151,1.23402860619844
Reference OM,PR+20,Near term (2026–2035),152,1.23141659700709
Reference OM,PR+20,Near term (2026–2035),153,0.872621271019895
Reference OM,PR+20,Near term (2026–2035),154,1.70202372657202
Reference OM,PR+20,Near term (2026–2035),155,1.47538477216122
Reference OM,PR+20,Near term (2026–2035),156,1.62897007986568
Reference OM,PR+20,Near term (2026–2035),157,1.4461485331738
Reference OM,PR+20,Near term (2026–2035),158,1.75067583103212
Reference OM,PR+20,Near term (2026–2035),159,1.54333351431102
Reference OM,PR+20,Near term (2026–2035),160,1.63645733717873
Reference OM,PR+20,Near term (2026–2035),161,1.6435059358408
Reference OM,PR+20,Near term (2026–2035),162,1.14728215874094
Reference OM,PR+20,Near term (2026–2035),163,1.2064868335372
Reference OM,PR+20,Near term (2026–2035),164,1.34530629898396
Reference OM,PR+20,Near term (2026–2035),165,1.34243546078483
Reference OM,PR+20,Near term (2026–2035),166,1.26624929301623
Reference OM,PR+20,Near term (2026–2035),167,1.92049100461806
Reference OM,PR+20,Near term (2026–2035),168,1.51149250846142
Reference OM,PR+20,Near term (2026–2035),169,1.06144713293685
Reference OM,PR+20,Near term (2026–2035),170,0.919416636639738
Reference OM,PR+20,Near term (2026–2035),171,1.49746666853841
Reference OM,PR+20,Near term (2026–2035),172,1.2749468104122
Reference OM,PR+20,Near term (2026–2035),173,1.29075860790724
Reference OM,PR+20,Near term (2026–2035),174,1.02631660402495
Reference OM,PR+20,Near term (2026–2035),175,1.67544264554556
Reference OM,PR+20,Near term (2026–2035),176,1.31558886825771
Reference OM,PR+20,Near term (2026–2035),177,1.1247199792346
Reference OM,PR+20,Near term (2026–2035),178,1.6758636928525
Reference OM,PR+20,Near term (2026–2035),179,0.894588659620067
Reference OM,PR+20,Near term (2026–2035),180,1.49528364219146
Reference OM,PR+20,Near term (2026–2035),181,1.47444158751358
Reference OM,PR+20,Near term (2026–2035),182,1.07295923071402
Reference OM,PR+20,Near term (2026–2035),183,1.72840359968971
Reference OM,PR+20,Near term (2026–2035),184,0.850032197888331
Reference OM,PR+20,Near term (2026–2035),185,1.19601895139322
Reference OM,PR+20,Near term (2026–2035),186,0.593440993771139
Reference OM,PR+20,Near term (2026–2035),187,2.13179929483945
Reference OM,PR+20,Near term (2026–2035),188,0.759538858380698
Reference OM,PR+20,Near term (2026–2035),189,1.37614816224666
Reference OM,PR+20,Near term (2026–2035),190,1.29603579650006
Reference OM,PR+20,Near term (2026–2035),191,1.06910463865199
Reference OM,PR+20,Near term (2026–2035),192,1.72557120692051
Reference OM,PR+20,Near term (2026–2035),193,1.31886757206494
Reference OM,PR+20,Near term (2026–2035),194,1.75314897509615
Reference OM,PR+20,Near term (2026–2035),195,1.1334905941301
Reference OM,PR+20,Near term (2026–2035),196,1.30056710127864
Reference OM,PR+20,Near term (2026–2035),197,0.845084425013755
Reference OM,PR+20,Near term (2026–2035),198,1.5983734400652
Reference OM,PR+20,Near term (2026–2035),199,0.859302432511389
Reference OM,PR+20,Long term (2041–2050),100,0.712521853197678
Reference OM,PR+20,Long term (2041–2050),101,1.4934135906782
Reference OM,PR+20,Long term (2041–2050),102,1.09405311020176
Reference OM,PR+20,Long term (2041–2050),103,1.41836170105936
Reference OM,PR+20,Long term (2041–2050),104,1.26738421203919
Reference OM,PR+20,Long term (2041–2050),105,1.43020887924057
Reference OM,PR+20,Long term (2041–2050),106,1.24589377341043
Reference OM,PR+20,Long term (2041–2050),107,1.3332941273938
Reference OM,PR+20,Long term (2041–2050),108,0.953941126765786
Reference OM,PR+20,Long term (2041–2050),109,1.07725135865809
Reference OM,PR+20,Long term (2041–2050),110,0.804177126447631
Reference OM,PR+20,Long term (2041–2050),111,0.980366807656643
Reference OM,PR+20,Long term (2041–2050),112,1.83562519060119
Reference OM,PR+20,Long term (2041–2050),113,1.4952536216632
Reference OM,PR+20,Long term (2041–2050),114,1.55290629534803
Reference OM,PR+20,Long term (2041–2050),115,1.59436244865117
Reference OM,PR+20,Long term (2041–2050),116,1.84172926953785
Reference OM,PR+20,Long term (2041–2050),117,1.01402051483773
Reference OM,PR+20,Long term (2041–2050),118,1.67080487943967
Reference OM,PR+20,Long term (2041–2050),119,1.01281108089008
Reference OM,PR+20,Long term (2041–2050),120,0.783255617277534
Reference OM,PR+20,Long term (2041–2050),121,1.72331358852848
Reference OM,PR+20,Long term (2041–2050),122,1.5734025248817
Reference OM,PR+20,Long term (2041–2050),123,1.04863728569848
Reference OM,PR+20,Long term (2041–2050),124,0.994212623798075
Reference OM,PR+20,Long term (2041–2050),125,0.912237425555046
Reference OM,PR+20,Long term (2041–2050),126,0.618380781574421
Reference OM,PR+20,Long term (2041–2050),127,1.95043358955879
Reference OM,PR+20,Long term (2041–2050),128,0.985008643030139
Reference OM,PR+20,Long term (2041–2050),129,1.41224342508587
Reference OM,PR+20,Long term (2041–2050),130,1.84933945101037
Reference OM,PR+20,Long term (2041–2050),131,1.31160563191351
Reference OM,PR+20,Long term (2041–2050),132,1.88050731160839
Reference OM,PR+20,Long term (2041–2050),133,1.12832456397879
Reference OM,PR+20,Long term (2041–2050),134,1.63762124701104
Reference OM,PR+20,Long term (2041–2050),135,1.22071256742508
Reference OM,PR+20,Long term (2041–2050),136,1.14864456851104
Reference OM,PR+20,Long term (2041–2050),137,2.33119260982364
Reference OM,PR+20,Long term (2041–2050),138,1.18341944233798
Reference OM,PR+20,Long term (2041–2050),139,1.24633770680148
Reference OM,PR+20,Long term (2041–2050),140,1.12015576495343
Reference OM,PR+20,Long term (2041–2050),141,1.29989327190582
Reference OM,PR+20,Long term (2041–2050),142,2.10252996724113
Reference OM,PR+20,Long term (2041–2050),143,1.46391432363289
Reference OM,PR+20,Long term (2041–2050),144,1.08712611314583
Reference OM,PR+20,Long term (2041–2050),145,0.868600154080974
Reference OM,PR+20,Long term (2041–2050),146,0.736531493313247
Reference OM,PR+20,Long term (2041–2050),147,0.876520928127884
Reference OM,PR+20,Long term (2041–2050),148,1.69210040014313
Reference OM,PR+20,Long term (2041–2050),149,1.19295389101413
Reference OM,PR+20,Long term (2041–2050),150,1.72402323399042
Reference OM,PR+20,Long term (2041–2050),151,0.887577604167929
Reference OM,PR+20,Long term (2041–2050),152,1.2632052866655
Reference OM,PR+20,Long term (2041–2050),153,0.955296835760401
Reference OM,PR+20,Long term (2041–2050),154,2.9799446216304
Reference OM,PR+20,Long term (2041–2050),155,1.31288849926242
Reference OM,PR+20,Long term (2041–2050),156,1.05566322486926
Reference OM,PR+20,Long term (2041–2050),157,0.922536068522469
Reference OM,PR+20,Long term (2041–2050),158,1.21084580020389
Reference OM,PR+20,Long term (2041–2050),159,1.86918427015468
Reference OM,PR+20,Long term (2041–2050),160,1.04089106761192
Reference OM,PR+20,Long term (2041–2050),161,0.898311095931642
Reference OM,PR+20,Long term (2041–2050),162,1.08213766406419
Reference OM,PR+20,Long term (2041–2050),163,1.25202747488823
Reference OM,PR+20,Long term (2041–2050),164,1.84657257611214
Reference OM,PR+20,Long term (2041–2050),165,0.94602071503581
Reference OM,PR+20,Long term (2041–2050),166,0.990376056887463
Reference OM,PR+20,Long term (2041–2050),167,2.24084236360218
Reference OM,PR+20,Long term (2041–2050),168,1.09969546280241
Reference OM,PR+20,Long term (2041–2050),169,1.43893374836608
Reference OM,PR+20,Long term (2041–2050),170,1.32831625066154
Reference OM,PR+20,Long term (2041–2050),171,1.16713080615942
Reference OM,PR+20,Long term (2041–2050),172,1.63335911449582
Reference OM,PR+20,Long term (2041–2050),173,1.21763522660069
Reference OM,PR+20,Long term (2041–2050),174,0.950613388640356
Reference OM,PR+20,Long term (2041–2050),175,1.07216108769986
Reference OM,PR+20,Long term (2041–2050),176,2.21553062665643
Reference OM,PR+20,Long term (2041–2050),177,1.62173084198647
Reference OM,PR+20,Long term (2041–2050),178,1.34898119700447
Reference OM,PR+20,Long term (2041–2050),179,1.40394400102319
Reference OM,PR+20,Long term (2041–2050),180,1.52887662466451
Reference OM,PR+20,Long term (2041–2050),181,1.92973671333001
Reference OM,PR+20,Long term (2041–2050),182,1.98396142580641
Reference OM,PR+20,Long term (2041–2050),183,0.823166991230859
Reference OM,PR+20,Long term (2041–2050),184,0.703243976858531
Reference OM,PR+20,Long term (2041–2050),185,1.00730330301347
Reference OM,PR+20,Long term (2041–2050),186,0.659458304031022
Reference OM,PR+20,Long term (2041–2050),187,0.7744831832087
Reference OM,PR+20,Long term (2041–2050),188,1.32721672130891
Reference OM,PR+20,Long term (2041–2050),189,0.737508246977374
Reference OM,PR+20,Long term (2041–2050),190,2.03266118915724
Reference OM,PR+20,Long term (2041–2050),191,0.695782987362059
Reference OM,PR+20,Long term (2041–2050),192,0.838993673990597
Reference OM,PR+20,Long term (2041–2050),193,1.06437856275764
Reference OM,PR+20,Long term (2041–2050),194,1.2369453423812
Reference OM,PR+20,Long term (2041–2050),195,1.01405449538819
Reference OM,PR+20,Long term (2041–2050),196,0.984693884311017
Reference OM,PR+20,Long term (2041–2050),197,0.75897706346452
Reference OM,PR+20,Long term (2041–2050),198,1.74032274011024
Reference OM,PR+20,Long term (2041–2050),199,2.70361336601309
Low recruitment,HS+20,Near term (2026–2035),100,1.37041247768821
Low recruitment,HS+20,Near term (2026–2035),101,0.891695216263189
Low recruitment,HS+20,Near term (2026–2035),102,1.11250336434092
Low recruitment,HS+20,Near term (2026–2035),103,1.18894431130742
Low recruitment,HS+20,Near term (2026–2035),104,1.32662396809529
Low recruitment,HS+20,Near term (2026–2035),105,1.15304586967234
Low recruitment,HS+20,Near term (2026–2035),106,1.16253926222401
Low recruitment,HS+20,Near term (2026–2035),107,0.729786336531715
Low recruitment,HS+20,Near term (2026–2035),108,1.13722879201045
Low recruitment,HS+20,Near term (2026–2035),109,1.23774725761717
Low recruitment,HS+20,Near term (2026–2035),110,1.20392509343872
Low recruitment,HS+20,Near term (2026–2035),111,1.15581612413623
Low recruitment,HS+20,Near term (2026–2035),112,1.2172475686857
Low recruitment,HS+20,Near term (2026–2035),113,1.25138654572843
Low recruitment,HS+20,Near term (2026–2035),114,1.50723049440433
Low recruitment,HS+20,Near term (2026–2035),115,1.44888113671284
Low recruitment,HS+20,Near term (2026–2035),116,1.19155660317684
Low recruitment,HS+20,Near term (2026–2035),117,1.8062958256067
Low recruitment,HS+20,Near term (2026–2035),118,1.08559169332311
Low recruitment,HS+20,Near term (2026–2035),119,0.741407587265034
Low recruitment,HS+20,Near term (2026–2035),120,1.83165123849684
Low recruitment,HS+20,Near term (2026–2035),121,1.12974912220253
Low recruitment,HS+20,Near term (2026–2035),122,0.895171528638395
Low recruitment,HS+20,Near term (2026–2035),123,1.36048945954813
Low recruitment,HS+20,Near term (2026–2035),124,1.15288518472982
Low recruitment,HS+20,Near term (2026–2035),125,0.604746200478024
Low recruitment,HS+20,Near term (2026–2035),126,0.501166802184903
Low recruitment,HS+20,Near term (2026–2035),127,0.950700458736784
Low recruitment,HS+20,Near term (2026–2035),128,0.701076631319519
Low recruitment,HS+20,Near term (2026–2035),129,1.29287789387584
Low recruitment,HS+20,Near term (2026–2035),130,1.22506041705791
Low recruitment,HS+20,Near term (2026–2035),131,1.12062035362602
Low recruitment,HS+20,Near term (2026–2035),132,1.49866794050605
Low recruitment,HS+20,Near term (2026–2035),133,1.0039011406488
Low recruitment,HS+20,Near term (2026–2035),134,2.27634468634742
Low recruitment,HS+20,Near term (2026–2035),135,1.00157678221265
Low recruitment,HS+20,Near term (2026–2035),136,1.1275610117042
Low recruitment,HS+20,Near term (2026–2035),137,1.13122922946404
Low recruitment,HS+20,Near term (2026–2035),138,0.694851593365169
Low recruitment,HS+20,Near term (2026–2035),139,1.92604846355143
Low recruitment,HS+20,Near term (2026–2035),140,0.95621021920169
Low recruitment,HS+20,Near term (2026–2035),141,1.39658204916922
Low recruitment,HS+20,Near term (2026–2035),142,0.905968721555477
Low recruitment,HS+20,Near term (2026–2035),143,1.19258344218539
Low recruitment,HS+20,Near term (2026–2035),144,1.29956536265874
Low recruitment,HS+20,Near term (2026–2035),145,1.13318979078592
Low recruitment,HS+20,Near term (2026–2035),146,1.25711388719421
