mp_code,mp,short_label,family,display,om,biol,catch_mean,catch_q10,catch_q90,sb_mean,sb_q10,sb_q90,iacc_mean,iacc_q10,iacc_q90,n_replicates,om_panel
tun29,MP29,HS+20,Hockey-stick,HS+20 (MP29),h1_0.16h,CJM,1166.81070584355,1071.09047072419,1270.60061773817,1.66935006504715,0.9994249129126,2.38592686246574,5.72571575379893,2.40543814986187,9.75257491360215,100,Steepness 0.8 (om12)
tun43,MP43,HS-20,Hockey-stick,HS-20 (MP43),h1_0.16h,CJM,948.471621364736,884.134163793482,1013.31021650342,1.96939056237013,1.30382459163834,2.69098604252464,5.4396425864702,2.74877009103782,7.82196501447706,100,Steepness 0.8 (om12)
tun45,MP45,HSsym,Hockey-stick,HSsym (MP45),h1_0.16h,CJM,989.091880678892,933.074613713427,1045.67584159188,1.97310384745454,1.31128881104619,2.69496124358463,5.48295225323855,2.91537968593147,7.80505674170998,100,Steepness 0.8 (om12)
tun47,MP47,HS-30,Hockey-stick,HS-30 (MP47),h1_0.16h,CJM,915.938515045109,848.527960782268,988.438378335667,1.96123837590894,1.29732506553324,2.68813131392861,5.39240067053329,2.76274556349549,7.88019040325261,100,Steepness 0.8 (om12)
tun32,MP32,PR+20,Power ramp,PR+20 (MP32),h1_0.16h,CJM,1033.39502635453,915.049729385504,1185.62621941909,1.69248904396732,1.03001101197018,2.38178976271788,7.88070628481077,3.0885671460405,14.5751155325035,100,Steepness 0.8 (om12)
tun44,MP44,PR-20,Power ramp,PR-20 (MP44),h1_0.16h,CJM,813.142962818335,768.728206201032,871.33221492717,2.08514168099517,1.28730821881627,2.89333619475939,9.8837531052668,5.65117544711964,14.121020540151,100,Steepness 0.8 (om12)
tun46,MP46,PRsym,Power ramp,PRsym (MP46),h1_0.16h,CJM,909.255404817427,885.257708893597,938.219373503339,2.09453195064468,1.32737107245923,2.88634073179375,9.48283541337212,5.18419059192783,13.5214854383035,100,Steepness 0.8 (om12)
tun48,MP48,PR-30,Power ramp,PR-30 (MP48),h1_0.16h,CJM,709.934144242162,640.425312843454,798.530506238107,1.98050186981844,1.23699313010232,2.71153775357074,9.25189881443189,3.74134327085078,17.0355170509374,100,Steepness 0.8 (om12)
tun29,MP29,HS+20,Hockey-stick,HS+20 (MP29),h1_1.14,CJM,1353.81833126792,1242.07795751201,1455.2811359688,1.8486979372357,1.10343020505819,2.62522496299709,4.8758643328971,1.67077206469389,8.50216023057924,100,Model 1.14 (om13)
tun43,MP43,HS-20,Hockey-stick,HS-20 (MP43),h1_1.14,CJM,1053.40798730313,984.428135203954,1115.4841469502,2.07635303855592,1.31824444817373,2.90499614991753,5.11433017684173,2.57261021188639,7.63550109104844,100,Model 1.14 (om13)
